n_above_p97_5,n_above_p99_9,sd_of_S,median_gap,r_squared,leaveout_r_squared
0,0,1.2069659896871232,40.00419994383266,0.5857614945644214,0.5871996694117907
2,1,1.1222276213176008,40.05248501177236,0.5794866171108816,0.5730356527011251
4,0,1.3961942468502366,38.79103982170018,0.587479908599609,0.5833038327038267
3,0,1.3000162552754861,40.2147049191776,0.5972477815995528,0.601319883412055
0,0,1.1542496372851352,40.144124794366974,0.5851374977116899,0.5831176834246538
3,0,1.2266178079794232,40.26128465514746,0.5742912573132333,0.5669143263962805
3,0,1.2260035999558831,39.21561486530037,0.5813689019451767,0.5725637742319236
6,0,1.2804834888738665,39.965426541186,0.5861851540023586,0.585577882567148
3,0,1.1808175791804207,39.85759373716816,0.5858597653102089,0.5861852924987347
4,0,1.1837425464333797,40.22652315402612,0.5927656129421885,0.5912628981034943
1,0,1.1671497611784802,40.38640288125859,0.5897465080773268,0.5881996494344949
6,0,1.3735749717245225,41.03043157611486,0.598151431019729,0.6039110071327805
3,0,1.3157153853577155,40.184118794964675,0.6025949380981788,0.6043120495494121
4,0,1.2130188920358984,40.814983582703746,0.5751196785224602,0.5635401030292753
1,0,1.188192384336999,37.50592867996723,0.6048262391050774,0.6159678503784307
4,0,1.3216350474585266,38.66790630390964,0.6137687698370735,0.6330718836899898
1,0,1.3240080315091511,40.35546517748831,0.594357849233957,0.5967478447615925
2,0,1.1584558544680854,40.27232024223495,0.5939872467505753,0.5978608223425721
4,0,1.2593406037845523,40.4135983436382,0.6044862006369431,0.613400072021705
3,0,1.2035722129068693,39.11563719320183,0.5858630316936426,0.584461288908922
2,1,1.2206271978642673,40.37009233743323,0.5961388889468455,0.5913194445184202
4,1,1.1666455507320612,40.16942586190487,0.5976351630854255,0.5985507644381522
2,0,1.1489893981613237,40.01826550742182,0.5917607901515505,0.5909970523394956
3,0,1.3885119033333222,40.581778437656155,0.5777275997429867,0.558153185075436
5,0,1.159731063216374,40.50155447519007,0.5805426530857356,0.5747505752364457
2,1,1.2944193629809617,40.544144113769654,0.59975232672254,0.607145380185333
4,0,1.2796157039179232,40.212101714373375,0.5752289055821537,0.556895659264973
1,0,1.0719177719027735,38.98930805404673,0.5848835479775716,0.5786127426942147
4,0,1.251284073157394,40.365402291716535,0.5937424385257462,0.5947412310168312
0,0,1.0993834392060808,40.40468851419918,0.5832811747277264,0.5764798501535809
0,0,1.1085044607381194,39.446925391749254,0.5767529486359116,0.569089470656156
1,0,1.1671838572722097,39.02971769588382,0.5839339273343825,0.5734275900458259
5,0,1.3195188265368136,39.36866238565848,0.590642468012131,0.5881841918126618
2,0,1.3600920171696027,39.33468723685238,0.5924264429777084,0.5974225789637371
1,0,1.0643879543906116,39.5286161453583,0.587551292221786,0.5892088586881958
1,0,1.041729460446109,39.27025407031911,0.5950183589574748,0.594247411500754
1,0,1.0830744058869937,38.434154477085706,0.5987705368695481,0.6018724303438161
3,0,1.316194798549037,40.14664905834137,0.5877417970666634,0.5857004047139008
1,0,1.1994106665681565,38.76778829305646,0.5776438927344772,0.5734857732809788
4,0,1.2946806821549077,40.01389099985965,0.6044673774946223,0.6163813763163934
2,0,1.2308981372054444,38.68443040707953,0.5916970059318467,0.5938357015955547
2,0,1.293968952220494,39.48642187918537,0.5851801878057264,0.5835634080037624
2,0,1.23642536652369,39.88194540548182,0.5836292468796018,0.5771359583433642
2,0,1.31090142647123,38.82925532549566,0.5855752908411671,0.5845334545935486
1,0,1.093787843557771,40.54440564074881,0.587553367888702,0.5863396864905952
1,0,1.198614538294543,39.2174748024128,0.5987990440780744,0.5972018567029724
5,0,1.2235646676996434,40.47325756541535,0.5683428134002648,0.5463618598622385
2,0,1.117517712318906,38.416064547344206,0.5895034442835725,0.5853885918398622
3,0,1.2833414543841852,38.85128093684492,0.5856349173705779,0.5774517401629898
3,0,1.2178924434147886,39.777411590953484,0.599240600317817,0.6073014215293603
2,0,1.190096415840097,40.52362369778238,0.5875915552347534,0.5909721429844983
1,0,1.0924735894658848,37.806653352761465,0.5897552033026578,0.5899466030577681
0,0,1.0180657295983975,40.6889749884813,0.5893275670240474,0.5850719300299049
1,0,1.1282689419290302,40.64125072811472,0.5922005949484379,0.594936291645302
5,0,1.2395668210035553,39.211344601168705,0.590667870061018,0.5814587332732972
1,0,1.2918410999478005,40.50876021479032,0.5871009622030952,0.5842817085077476
4,0,1.3264056831790887,40.6487275272184,0.587497838441546,0.5821516408538077
3,0,1.3322617540692625,41.23138009942377,0.6084739822374358,0.6226549500185737
5,0,1.3824218188305586,41.537978395640074,0.5606029797010601,0.5361458358450248
2,0,1.2803398236740264,39.9398384878392,0.6051750166583187,0.6144285432124517
2,0,1.1625076647697499,40.347503648377504,0.5751234234300745,0.5649250728323667
5,0,1.162726843439765,41.000249802697766,0.5907990971690658,0.5894031410415863
4,0,1.1717786149311624,41.097432457407535,0.5833338495309679,0.580424944775083
1,0,1.0518665529050135,38.25920290922925,0.5765393674584806,0.565048336414801
2,1,1.3192552467909582,39.995730787049546,0.588604965757156,0.5895792954745545
2,0,1.2716028243657116,41.0230744650105,0.5968905016268663,0.605496479749351
0,0,1.1674095639163882,38.92553479285266,0.5857377423275887,0.5806993156947668
1,0,1.180382413803239,40.44971554883347,0.6016461331664875,0.6096517194310356
0,0,1.156966097614091,39.76888855912778,0.5899375869126067,0.582480067382924
1,0,1.1753436623378202,40.937155252900915,0.5913847688886518,0.5909000826044744
11,0,1.3971659101063092,40.30918047616529,0.5888290457614349,0.5859637877975885
1,0,1.0879102410990487,39.5325394095718,0.5785798117813037,0.5644585537076781
1,0,1.1907027537733947,40.3901356534733,0.577779663065374,0.5618317408536281
0,0,1.1733205134979308,39.704922499562,0.5890619240856028,0.5913120919327932
1,0,1.3071743581375,40.62903774382548,0.5800116985583077,0.5778547211227505
1,0,1.1230430961600886,38.85065509822794,0.5833580144277726,0.5751884981062587
4,0,1.2468870571570085,38.7715632555873,0.5792987024766537,0.5672750137667742
2,0,1.1722342818402567,39.47621332159144,0.5898762533060553,0.5882710196056004
1,0,1.1799288084589978,40.888664632261175,0.5983639031646402,0.6060162806422877
9,0,1.3543046648645465,40.71646658892205,0.5680352313463867,0.5533505353068862
3,0,1.1298300287992422,40.85860219927036,0.5829268096419139,0.5779616190132826
1,1,1.2147436953680495,39.45062018197003,0.6055735162703975,0.6193925842671222
2,0,1.1446957377162787,40.279310281165834,0.5911004463094236,0.5950385146737096
0,0,1.076291955263126,39.253872445068126,0.571964143232127,0.5612872386956484
