moving_unscreened_5,moving_unscreened_10,moving_unscreened_21,moving_screened_5,moving_screened_10,moving_screened_21,circular_unscreened_5,circular_unscreened_10,circular_unscreened_21,circular_screened_5,circular_screened_10,circular_screened_21,stationary_unscreened_5,stationary_unscreened_10,stationary_unscreened_21,stationary_screened_5,stationary_screened_10,stationary_screened_21
2.265133647138913,1.964054895834875,2.1699498152210093,3.0188971105761766,2.725416193212255,2.9256556428870404,2.4925014923363564,2.635402194098578,1.502359893553638,2.8982647465991356,3.790912327593895,1.7354874070422905,3.297618614545169,2.6710812052069093,4.052153707138632,3.9930989790654094,3.103266494263015,4.43415038027809
1.848418878450488,5.177843331290284,3.071292358371672,2.5940445949349806,5.388562814643919,3.3271036317851514,2.5437823715821697,5.182553801290265,2.14328679627358,3.537642109999496,5.820748285609278,2.9321946155778114,5.303001808846857,3.5132853224235765,1.3259794876237785,5.5922762300934865,3.7938697083898294,2.06038635321759
1.573010018070912,3.134633370006232,2.7078894252916608,2.048840058890396,3.47532012007199,3.2445033319356074,1.7813022385137696,2.984186456993741,4.1192936049201085,2.1223578423320477,2.964163385016872,4.5006738569151725,13.697667185683374,5.417633026937793,0.9112797315932917,14.915988517669524,6.00640061646839,1.5127475959306602
1.6768059091555056,2.5471366464129823,2.893844208728237,3.7689483370361097,3.299359668165248,3.755926955780542,2.285412946744932,2.978758049606415,7.604360415570741,3.825536164779936,3.6082714552988557,7.9900739266756595,2.3100286832721624,2.528085466466192,4.7019570793636625,3.035793109006909,2.960054002804906,4.6839092170000125
6.207665652252777,1.3501588596143477,3.900944841966515,6.7275173737063865,2.5401871453057674,4.096451620567578,2.490702107979903,1.8741824664045807,3.6191431230266975,3.24545919175939,2.4005036609744446,3.5945688079640985,12.302614787090663,2.595356809745456,4.253978048173395,12.915407357365357,3.522554730948321,4.2343906714156825
2.6300802527393996,2.7890638029334447,5.290313596964197,4.710701943208732,3.083095669944685,5.881392597108673,3.7031453995141104,4.318789790003054,3.8245713089258038,4.508304080335698,4.619119118544243,4.321888151444024,4.8389158394661544,2.2732442885717608,2.4444769853752057,6.712276891427611,2.976615322074259,2.746536303898174
3.3230533735431056,0.9238664836680016,5.753515597158238,4.7442624064492325,1.5948562685482464,5.749837170401552,3.192507075331297,1.5182615052341686,5.162672489416592,4.502098643225451,2.148455155251197,5.691895384720092,4.703391491748199,7.095231972563116,1.917090056098921,4.947165250166328,7.808057798817461,2.116535381241531
1.3332257848461606,1.0205198795064536,3.422703255403619,2.033613043013086,1.548604065241657,3.5495944755260376,2.600746407430434,1.770254763193066,2.566320169008173,3.1116052123633615,2.002293745020822,2.8853106893385516,8.624866439445189,3.352804364489514,2.6408188940093305,8.870766182068353,3.748643063064202,3.3250244736435555
4.2488542786681,3.580008635085945,2.1772231004367413,4.662300654114427,3.8563203931252663,2.5385328467097397,6.393111709882003,1.9133347817960449,3.3762560073377474,6.825790982762148,2.300334403322841,3.397349046632058,5.189564599347045,4.606018546226113,1.335824176993407,5.878338118389516,5.924941899033696,2.339226786462446
4.688758021628191,4.409909849921345,3.996259318851271,5.893337091867264,4.792047456626786,4.583714255832432,4.201383657719674,3.7538074630324734,3.728942116158239,4.925345802895801,4.019897085755334,4.432556262633743,3.761352626917065,5.342255245407162,6.80139250005583,4.179236908034139,5.406859246240376,7.536620535228954
