ticker,date
AMGN,2026-01-07
AMGN,2025-09-19
AMGN,2025-07-22
GILD,2025-08-08
GILD,2026-02-11
GILD,2025-10-17
GILD,2026-01-21
GILD,2025-11-11
GILD,2026-01-23
GILD,2026-02-27
GILD,2025-07-23
GILD,2026-01-16
GILD,2026-05-22
HUM,2025-07-30
HUM,2026-05-08
HUM,2025-10-03
HUM,2026-04-07
HUM,2026-05-12
HUM,2025-12-03
HUM,2026-02-26
HUM,2026-04-29
HUM,2026-03-31
HUM,2026-01-05
CVS,2026-05-06
CVS,2026-04-07
CVS,2026-04-23
CVS,2025-07-30
CVS,2026-05-08
CVS,2026-04-29
CVS,2026-04-28
CVS,2025-07-25
CVS,2025-08-05
CVS,2026-05-12
BMY,2025-10-30
BMY,2025-12-03
BMY,2026-04-30
BMY,2025-10-01
BMY,2026-01-07
BMY,2026-02-06
BMY,2025-12-15
BMY,2026-02-05
BMY,2025-11-24
BMY,2025-11-11
BDX,2025-08-07
BDX,2026-05-07
BDX,2026-02-10
BDX,2026-02-11
BDX,2025-12-10
BDX,2025-11-11
BDX,2025-07-22
BDX,2026-05-19
BDX,2026-01-06
BDX,2025-07-01
PPG,2026-04-08
PPG,2026-02-04
PPG,2026-03-23
PPG,2026-05-06
PPG,2026-04-16
PPG,2025-11-21
PPG,2026-04-30
PPG,2025-08-13
PPG,2025-06-23
PPG,2026-01-28
NUE,2025-10-28
NUE,2026-04-08
NUE,2026-04-28
NUE,2025-10-27
NUE,2025-12-10
NUE,2026-01-29
NUE,2026-01-02
NUE,2025-10-20
NUE,2026-05-26
NUE,2025-07-02
STLD,2025-09-16
STLD,2026-04-08
STLD,2025-08-22
STLD,2026-04-21
STLD,2025-10-21
STLD,2026-03-31
STLD,2026-02-06
STLD,2026-01-21
STLD,2026-04-20
STLD,2026-05-26
VMC,2026-04-08
VMC,2026-01-09
VMC,2026-02-06
VMC,2026-05-26
VMC,2026-04-01
VMC,2026-01-02
VMC,2025-08-04
VMC,2026-05-27
VMC,2025-09-11
VMC,2026-01-08
MLM,2026-04-08
MLM,2026-05-26
MLM,2026-01-09
MLM,2025-08-04
MLM,2026-03-23
MLM,2025-10-14
MLM,2026-02-13
MLM,2026-02-06
MLM,2026-03-31
MLM,2025-08-12
PWR,2026-04-30
PWR,2026-02-19
PWR,2026-02-06
PWR,2025-10-08
PWR,2026-03-09
PWR,2026-05-11
PWR,2025-09-10
PWR,2026-01-16
PWR,2026-01-02
PWR,2025-09-18
ODFL,2026-02-04
ODFL,2026-02-02
ODFL,2025-12-03
ODFL,2025-11-21
ODFL,2025-08-22
ODFL,2025-12-10
ODFL,2026-05-14
ODFL,2026-01-21
ODFL,2025-08-12
ODFL,2026-04-08
CSX,2026-04-23
CSX,2025-09-29
CSX,2025-07-17
CSX,2026-05-14
CSX,2026-03-31
CSX,2026-01-21
CSX,2025-12-03
CSX,2025-09-23
CSX,2025-07-01
CSX,2025-07-22
UNP,2026-04-23
UNP,2026-01-21
UNP,2026-02-04
UNP,2026-05-27
UNP,2026-02-10
UNP,2026-02-03
UNP,2026-01-29
UNP,2026-01-08
UNP,2025-07-01
UNP,2025-09-22
NSC,2026-04-23
NSC,2025-07-17
NSC,2026-02-10
NSC,2026-01-21
NSC,2026-02-04
NSC,2025-07-18
NSC,2025-07-01
NSC,2025-09-22
NSC,2026-02-03
NSC,2026-05-14
FDX,2025-11-11
FDX,2026-02-03
FDX,2025-08-22
FDX,2026-04-08
FDX,2026-04-16
FDX,2026-03-31
FDX,2026-02-02
FDX,2026-05-06
FDX,2026-04-30
FDX,2025-06-27
UPS,2025-10-28
UPS,2026-02-04
UPS,2025-11-21
UPS,2026-02-02
UPS,2026-03-31
UPS,2025-07-01
UPS,2025-06-10
UPS,2026-01-06
UPS,2025-08-22
UPS,2026-04-08
LMT,2026-01-09
LMT,2026-01-08
LMT,2026-01-29
LMT,2025-06-13
LMT,2026-03-02
LMT,2026-01-05
LMT,2025-12-08
LMT,2025-06-12
LMT,2026-01-02
LMT,2025-06-17
BA,2025-12-02
BA,2025-06-27
BA,2026-04-22
BA,2026-03-31
BA,2026-01-02
BA,2026-04-01
BA,2026-03-06
BA,2026-04-08
BA,2025-07-09
BA,2025-09-26
HII,2025-07-31
HII,2026-02-06
HII,2025-10-30
HII,2026-01-08
HII,2025-12-22
HII,2026-05-12
HII,2025-07-23
HII,2025-12-19
HII,2026-02-19
HII,2026-01-05
GD,2026-04-29
GD,2025-07-23
GD,2026-01-05
GD,2025-10-24
GD,2025-09-30
GD,2026-02-03
GD,2026-05-18
GD,2025-12-10
GD,2026-02-06
GD,2026-02-26
HON,2025-10-23
HON,2026-01-29
HON,2026-04-08
HON,2026-05-06
HON,2026-05-21
HON,2026-01-08
HON,2026-05-11
HON,2025-10-14
HON,2026-01-05
HON,2025-07-01
MMM,2025-10-21
MMM,2026-02-04
MMM,2026-02-06
MMM,2026-05-18
MMM,2025-09-11
MMM,2026-03-23
MMM,2026-04-08
MMM,2026-01-22
MMM,2025-08-22
MMM,2026-05-13
